"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D4,D3,D5,D6";"0402LED";4;"green";;;
2;"H1,H2";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
3;",,,,,,,,,,,,,,,,,,,,,";"buzzardLabel";22;"";;;
4;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
5;"D1";"0402LED";1;"purple";;;
6;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
7;"Q3,Q1,Q4,Q2";"SOT-23-3";4;"NPN-SOT-23-3";;;
8;"R1,R4,R6,R5,R3";"0402R";5;"2k2";;;
9;"R8,R7,R9,R2";"0603R";4;"1k";;;
10;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
11;"JP2";"SMD_JUMPER";1;"SMD_JUMPER";;;
12;"K3";"JST_XH_5A_CONNECTOR";1;"JST_XH_5A_CONNECTOR";;;
13;"G***";"Symbol-Front-Motor";1;"LOGO";;;
14;"K1";"TERMINAL_KF235-5.0-2P";1;"TERMINAL_KF235-5.0-2P";;;
15;"D9,D7,D8,D2";"M4_DIODA";4;"M4_DIODA";;;
16;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
17;"JP1";"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_SLODERMASK";;;
18;"K2";"HEADER_MALE_5X1";1;"HEADER_MALE_5X1";;;
19;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
